                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.704,                 1.0972,                 1.0952,                0.74147,                0.70969,                 0.7819,                0.38421,                 1.7575,                 1.5935,                 1.1284,               0.000752,               0.000752,               0.000752
                     35,                 1.6946,                 1.0738,                 1.1102,                0.74917,                0.74397,                0.81148,                 0.4122,                 1.7131,                 1.4332,                 1.1053,             0.00076306,             0.00076306,             0.00076306
                     36,                 1.6733,                 1.0713,                 1.1069,                0.72816,                0.76514,                0.82231,                0.41749,                 1.7183,                 1.3643,                 1.1017,             0.00077346,             0.00077346,             0.00077346
                     37,                 1.7144,                 1.0436,                 1.1074,                0.72816,                0.76514,                0.82231,                0.41749,                 1.7183,                 1.3643,                 1.1017,              0.0007832,              0.0007832,              0.0007832
                     38,                 1.7244,                 1.0511,                 1.1126,                0.75997,                0.78838,                0.84384,                0.43942,                 1.6821,                 1.2629,                 1.0851,             0.00079228,             0.00079228,             0.00079228
                     39,                 1.6942,                 1.0327,                 1.1162,                0.77184,                0.78985,                0.85189,                0.43842,                   1.68,                 1.2263,                 1.0797,              0.0008007,              0.0008007,              0.0008007
                     40,                 1.6636,                 1.0253,                 1.0876,                0.77184,                0.78985,                0.85189,                0.43842,                   1.68,                 1.2263,                 1.0797,             0.00080846,             0.00080846,             0.00080846
                     41,                 1.6737,                 1.0387,                  1.069,                0.74247,                0.78075,                0.81963,                 0.4037,                  1.772,                 1.3005,                 1.1063,             0.00081556,             0.00081556,             0.00081556
                     42,                 1.6729,                  1.035,                 1.1084,                0.72085,                0.78401,                0.80603,                0.40396,                 1.7497,                 1.3295,                  1.099,               0.000822,               0.000822,               0.000822
                     43,                 1.7309,                 1.0789,                 1.0721,                0.72085,                0.78401,                0.80603,                0.40396,                 1.7497,                 1.3295,                  1.099,             0.00082778,             0.00082778,             0.00082778
                     44,                 1.6703,                 1.0345,                  1.106,                0.76095,                0.79293,                0.84467,                0.43894,                 1.6774,                 1.2727,                 1.0774,              0.0008329,              0.0008329,              0.0008329
                     45,                 1.6522,                 1.0156,                 1.1166,                0.76095,                0.79293,                0.84467,                0.43894,                 1.6774,                 1.2727,                 1.0774,             0.00083736,             0.00083736,             0.00083736
                     46,                 1.6286,                  1.001,                  1.098,                0.79495,                0.80536,                0.88724,                0.46629,                 1.6458,                 1.1876,                 1.0687,             0.00084116,             0.00084116,             0.00084116
                     47,                 1.6153,                0.98567,                 1.0818,                0.79495,                0.80536,                0.88724,                0.46629,                 1.6458,                 1.1876,                 1.0687,              0.0008443,              0.0008443,              0.0008443
                     48,                 1.6674,                 1.0355,                  1.123,                 0.7746,                0.82024,                0.89584,                0.47786,                 1.6345,                 1.1475,                 1.0664,             0.00084678,             0.00084678,             0.00084678
                     49,                 1.6119,                0.98751,                  1.111,                 0.7746,                0.82024,                0.89584,                0.47786,                 1.6345,                 1.1475,                 1.0664,              0.0008486,              0.0008486,              0.0008486
                     50,                 1.5765,                0.95623,                  1.113,                0.76351,                 0.8177,                0.89132,                0.47834,                 1.6423,                 1.1496,                   1.07,             0.00084975,             0.00084975,             0.00084975
                     51,                 1.6515,                0.95757,                 1.1356,                0.76351,                 0.8177,                0.89132,                0.47834,                 1.6423,                 1.1496,                   1.07,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.7234,                 1.0223,                 1.1176,                0.75323,                0.83587,                0.89996,                0.48372,                 1.6121,                 1.1529,                 1.0616,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.6437,                 1.0001,                 1.1083,                0.75323,                0.83587,                0.89996,                0.48372,                 1.6121,                 1.1529,                 1.0616,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.6336,                 1.0013,                  1.068,                0.73631,                0.80893,                0.87021,                0.42636,                 1.7354,                 1.2278,                 1.1077,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.6632,                 1.0038,                 1.0719,                0.73631,                0.80893,                0.87021,                0.42636,                 1.7354,                 1.2278,                 1.1077,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.6126,                0.96344,                 1.0801,                0.76551,                0.78938,                0.86816,                0.42334,                 1.7219,                 1.2809,                 1.1104,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.6438,                0.95893,                 1.1124,                0.76551,                0.78938,                0.86816,                0.42334,                 1.7219,                 1.2809,                 1.1104,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.6578,                0.97014,                 1.0885,                0.78718,                0.78537,                0.87046,                0.45505,                 1.6201,                 1.3255,                 1.0768,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.6462,                0.96803,                 1.0985,                0.78718,                0.78537,                0.87046,                0.45505,                 1.6201,                 1.3255,                 1.0768,             0.00072631,             0.00072631,             0.00072631
                     60,                  1.639,                0.97115,                 1.0896,                0.81783,                0.80206,                0.88493,                0.47691,                 1.5927,                 1.3171,                 1.0636,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.5937,                0.93124,                 1.0951,                0.81783,                0.80206,                0.88493,                0.47691,                 1.5927,                 1.3171,                 1.0636,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.6826,                0.95604,                 1.0727,                 0.8326,                0.81138,                0.89129,                0.47681,                 1.6077,                 1.3002,                 1.0713,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.6008,                0.93122,                 1.1201,                 0.8326,                0.81138,                0.89129,                0.47681,                 1.6077,                 1.3002,                 1.0713,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.6187,                0.92795,                 1.0961,                0.82779,                0.80846,                0.89071,                0.47702,                 1.6146,                 1.2806,                 1.0769,              0.0006438,              0.0006438,              0.0006438
